category_name,parent_name
Monitoring and Evaluation,
Reporting,Monitoring and Evaluation
Video Conferencing,Monitoring and Evaluation
Business Management,Monitoring and Evaluation
Data Collection,Monitoring and Evaluation
Data Analysis,Monitoring and Evaluation
Reporting,Monitoring and Evaluation
Dashboarding,Monitoring and Evaluation
End to end Development Program Management,Monitoring and Evaluation
Fundraising,
Grant/Donor Management,Fundraising
Crowdfunding,Fundraising
Project Management,
Training,Project Management
Learning Management System,Project Management
Fellowship Management,Project Management
Agile Project Management,Project Management
Task Management,Project Management
Office Automation,
IT Infrastructure,Office Automation
Workflow Management,Office Automation
Resource Management,Office Automation
Database and Knowledge Management,Office Automation
Device Management,Office Automation
Scheduling,Office Automation
Human Resources,
Attendance & Payroll Management,Human Resources
Recruitment,Human Resources
Training,Human Resources
Comprehensive HR solutions,Human Resources
Employee Welfare,Human Resources
Finance and Accounts,
Payroll Management,Finance and Accounts
Communication,
Outreach and Marketing,Communication
Email Marketing,Communication
Community Engagement,Communication
Placemaking,Communication
Customer Communications,Communication
Ticketing System,Communication
Video Editing,Communication
Website Management,Communication
Adobe Creative Suite,Communication
Data & AI,
Data Collection,Data & AI
Data Analytics,Data & AI
Cloud Computing,Data & AI
Data Warehousing for Structured Data,Data & AI
Data Warehousing for Unstructured Data,Data & AI
ETL,Data & AI
Data Quality Management,Data & AI
Other tools,
Chatbot,
AI (productivity & creativity tools),
General/Multi-purpose,AI (productivity & creativity tools)
Text & Content,AI (productivity & creativity tools)
Image Creation,AI (productivity & creativity tools)
Presentations,AI (productivity & creativity tools)
Audio & Voice,AI (productivity & creativity tools)
Music,AI (productivity & creativity tools)
Video & Animation,AI (productivity & creativity tools)
Code & Development,AI (productivity & creativity tools)
3D Design,AI (productivity & creativity tools)
Language & Translation,AI (productivity & creativity tools)
Speech Recognition,AI (productivity & creativity tools)
Document Processing,AI (productivity & creativity tools)
Data Analysis,AI (productivity & creativity tools)
Data Visualization,AI (productivity & creativity tools)
Content Analysis,AI (productivity & creativity tools)
Social Media,AI (productivity & creativity tools)
Scheduling,AI (productivity & creativity tools)
Workflow Automation,AI (productivity & creativity tools)
Writing Assistant,AI (productivity & creativity tools)
SEO & Marketing,AI (productivity & creativity tools)
Event Management,
Digital Learning and Training,
Others,
Stack management,Others
Full stack suite,Others
AI,Others
Presentations,Others
Presentations,Others
Capacity Building,Others
Marketplace,Others
FPO ERP,Others
Organic Transformation,Others
Change Management System,Others
Mentorship,Others
Security Cloud,Others
Hospital Management,Others
Link Management,Others
Logistics/Shipping and Tracking,Others
Payment Processing/Gateway,Others